상품명,가격,rating,rating_num
"네이쳐리빙 논슬립 5단 바지걸이, 네이비, 2개입",5800,4.0,1177
"비비고 육개장 500g 2p + 소고기미역국 500g, 육개장(2p)+소고기미역국(1p), 1세트",8900,4.5,286
드레스하우스 데님 머리핀 10개입 + 하드케이스,4300,4.5,60
"한결미곡처리장 2017년 풍미쌀 백미, 20kg",46900,4.5,7411
"맥심 모카골드 마일드 커피 믹스, 12g, 210개",20870,4.5,36375
"이니띠움 터치미 러그, 그레이",12800,4.5,2503
"청도대감 청도 감말랭이, 300g, 2개입",11300,4.0,61
"이노카 워터드롭 베이직 식기건조대 1단, 화이트",9900,4.5,330
"다우니 표준형 섬유유연제 아로마 플로럴향 본품, 8.5L",14490,4.5,52546
"하기스 2017년 매직팬티 팬티형 기저귀 남아용 5단계 13~18kg, 120매",41110,4.5,2788
"크리넥스 천연펄프 순수 3겹 소프트 롤화장지 27M, 30롤, 1팩",13430,4.5,25246
"트레비 자몽 탄산음료, 300ml, 20개입",8800,4.5,1072
"클리오 킬 커버 파운웨어 쿠션 XP 본품 + 리필 세트, 03 린넨, 1세트",20500,4.5,526
"키친아트 아크바 에어프라이어 1.6L, KA-AF03N",35850,4.0,48
"닥터리브 곤약젤리 청포도맛, 150ml, 10개입",14780,5.0,113
"시크릿데이 러브 울트라 슬림 생리대 중형 3팩 + 대형 2팩 + 오버나이트 날개형 1팩, 1세트",11900,4.5,4929
"무아스 LED 미러 탁상시계 직사각형, 단일 색상",8900,4.0,760
"페브리즈 섬유탈취제 다우니향 본품, 370ml, 2개입",7900,4.5,1632
"칠성사이다, 190ml, 30개",10250,5.0,20270
"답이답이다 다용도 캡형 물티슈, 100매입, 10개입",7730,4.5,3700
"쿤달 모이스춰라이징 퓨어 바디로션 베이비파우더향, 500ml",6900,4.5,1744
"오뚜기 진라면 순한맛 120g, 10개입",4000,4.5,6137
"애터미 플러스 치약, 200g, 5개",17110,4.5,7924
"하루애 져키 반려견 간식, 오리고기",6400,4.5,1333
"브이디엘 퍼펙팅 래스트 파운데이션 30ml, A02",13900,4.5,1539
"뽀로로 바로 찍혀 참 쉬운 쿵쿵쿵 스탬프 놀이책 : 손끝으로 배우는 손놀이 시리즈, 키즈아이콘",9750,4.0,31
"유니맥스 터보 싸이클론 핸디 스틱 진공청소기 UVC-1718, 혼합 색상",35910,4.0,442
"경남제약 칼로스탑 탄수화물차단제, 66g",15010,4.0,225
"A.H.C 블랙 캐비어 스페셜 스킨케어세트 + 쇼핑백, 1세트",34900,4.5,653
"농협 제주 한라봉, 2kg(8~10과), 1박스",15900,4.0,522
"부케가르니 히말라야 허브 나드 샴푸, 1000ml",8410,4.0,1161
"베베숲 저자극 제로 아기물티슈 캡형, 80매, 10팩",14500,4.5,44241
"머지 더 퍼스트 벨벳 립 틴트 4.5g, 블러디 메리",6900,4.5,3040
"하림 치킨너겟2, 1kg, 2개",16090,4.5,4424
"공룡메카드 데본느 + 니쿠스, 혼합색상",15780,4.5,89
"앱솔루트 엄마가 만든 프리미엄 명작 분유 3단계, 800g, 3개",37200,4.5,14717
"릴리유 하트쿠션 엠보싱 유아물티슈 캡형, 80매, 10팩",11610,4.0,429
